iteration,page_A,page_B,page_C,page_D,sum
0,0.25,0.25,0.25,0.25,1.0
1,0.35624999999999996,0.14375,0.35624999999999996,0.14375,1.0
2,0.31109375,0.18890625,0.31109375,0.18890625,1.0
3,0.33028515625,0.16971484375,0.33028515625,0.16971484375,1.0
4,0.32212880859375004,0.17787119140625,0.32212880859375004,0.17787119140625,1.0
5,0.32559525634765624,0.17440474365234376,0.32559525634765624,0.17440474365234376,1.0
6,0.3241220160522461,0.17587798394775392,0.3241220160522461,0.17587798394775392,1.0
7,0.32474814317779543,0.1752518568222046,0.32474814317779543,0.1752518568222046,1.0
8,0.32448203914943696,0.17551796085056307,0.32448203914943696,0.17551796085056307,1.0
9,0.3245951333614893,0.1754048666385107,0.3245951333614893,0.1754048666385107,1.0
10,0.32454706832136704,0.17545293167863296,0.32454706832136704,0.17545293167863296,1.0
11,0.32456749596341905,0.17543250403658103,0.32456749596341905,0.17543250403658103,1.0000000000000002
12,0.324558814215547,0.17544118578445314,0.324558814215547,0.17544118578445314,1.0000000000000002
13,0.32456250395839265,0.1754374960416075,0.32456250395839265,0.1754374960416075,1.0000000000000002
14,0.3245609358176833,0.17543906418231692,0.3245609358176833,0.17543906418231692,1.0000000000000004
